protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
VPS29,VPS29,29288000,31251000,30846000,24721000,53789000,35699000,30194000,28412000,43932000,41498000,15143000,19419000,20628000,9564900,44162000,13399000,59783000,42020000,26203000,33882000,26829000,42538000
KIF2A,KIF2A,989430,5023400,2788700,4203400,307430,3359100,352920,3153000,NA,1697600,621070,1020900,552840,974870,2855900,644010,607500,3844500,126120,1422400,3617000,4173800
EMRE,SMDT1,1417600,347930,674410,956020,1432700,2127500,2212300,542570,695370,NA,796440,2474700,1614700,757600,985020,772710,1709700,3319100,1690500,2370200,2919300,6775200
THAS,TBXAS1,6958800,6647500,13704000,9912100,26252000,23525000,13533000,11127000,12232000,24644000,7208400,9674900,2131400,4449900,10110000,8879000,11684000,26292000,15736000,8302400,12550000,31720000
GDAP1,GDAP1,3936900,1761500,609370,915140,4156500,1280400,5176300,10320000,262580,603160,138020,585820,4667700,4251900,4625700,NA,2361300,3245400,5010100,1571600,1192200,2711400
DJC10,DNAJC10,8284000,9533600,3571300,2511800,11141000,5534900,7834000,7851400,6039400,5480400,2623000,6386000,4044500,8377700,8061800,1866800,10904000,13876000,5910100,6462200,4504300,19102000
ARFP2,ARFIP2,680030,5036100,2766200,966580,3719400,6633700,4173200,1586300,1594600,1616100,2411100,2957800,1881800,1190100,3784100,1843400,3385600,5703400,2174600,3124500,3551200,3602600
PD1L1,CD274,1402800,1779300,1020700,4397800,3212700,2818600,1309500,220030,4559400,2810700,196840,302060,764780,4828600,1473900,1363000,3053600,4853000,831810,1706100,1495000,5190900
SFRP4,SFRP4,7189800,2884000,3869100,2539500,1745900,8059800,2503400,1504700,4980300,2003700,1462100,711170,4556700,1229400,1715800,9878.8,2017000,5009200,1185300,1444400,1496700,5767100
ITPA,ITPA,38053000,43656000,34766000,39972000,59816000,45812000,33850000,26735000,20026000,37689000,58856000,17149000,10451000,22801000,49962000,9082800,66569000,94388000,24790000,32336000,30448000,62019000
MTX1,MTX1,6587500,14294000,3622400,6141400,20005000,13335000,12976000,6755000,10491000,13364000,6450000,7907900,4655500,1792400,11008000,3017400,17106000,14620000,11030000,12955000,9787300,15034000
PFD6,PFDN6,8027800,24488000,10613000,35658000,35078000,29835000,35109000,9882700,25049000,11101000,15153000,5903800,7539800,13594000,10888000,19024000,46056000,42402000,22132000,18486000,14973000,61501000
MT1E,MT1E,1922500,2024500,2158600,1947700,3621600,4610700,2411500,1354700,2472500,6394400,1162700,303910,1712300,1106500,1130000,1092900,275020,14321000,4953200,1456600,6892800,5602900
