protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
PTBP1,PTBP1,176950000,46866000,284100000,100890000,696550000,199130000,274140000,417240000,673320000,73121000,32272000,136380000,128830000,160130000,44325000,186100000,151890000,114600000
DX39B,DDX39B,45935000,12643000,122480000,23333000,205840000,67850000,90993000,105000000,176280000,21266000,8122500,26378000,33483000,46996000,11327000,72614000,49815000,35273000
OCAD2,OCIAD2,17585000,3413100,20429000,13095000,58233000,1400800,26580000,15239000,21981000,983150,NA,853880,3327300,2560300,367390,6783000,2150000,1642400
CPSF5,NUDT21,25326000,9740300,34483000,15731000,66650000,30009000,38694000,53207000,80379000,8717500,4518000,16278000,16312000,26083000,2611300,22678000,18146000,12035000
CYB5,CYB5A,70240000,7300800,96759000,19241000,38620000,27219000,66039000,38108000,21126000,63056000,44134000,139540000,93055000,231700000,75218000,163590000,136940000,118940000
NUBP1,NUBP1,7551200,2524800,9969000,3987000,15615000,7064500,10149000,13415000,29056000,1475000,117130,3938900,3161600,5626300,119500,10211000,7199200,4002400
SEP15,SELENOF,5210500,11966000,44573000,12756000,79252000,20026000,26680000,10573000,30764000,10677000,1548200,5651100,10449000,15433000,2765700,21092000,12877000,6946700
ZNT7,SLC30A7,4621200,4339500,7738100,5433400,50863000,6427600,10317000,14105000,22119000,2269100,2402600,7677000,5070700,5610700,1184300,11555000,6227300,3629400
SYAP1,SYAP1,3785800,1878000,11534000,3340100,17412000,3752100,6180500,11252000,39186000,2647200,1405200,3646200,5043400,6696300,1352200,7628100,4338500,2857400
FKB11,FKBP11,2735000,2169600,13953000,3958600,3594700,4659200,4851000,8570500,5979600,NA,39565,5208100,3248900,2532700,88403,4325200,2394700,452740
RL36,RPL36,6047000,1865300,20066000,3732900,49073000,2211200,18562000,20936000,38791000,2607900,1106300,1776200,1532100,13399000,755090,6589700,2039200,1414600
IMDH1,IMPDH1,2136200,2143400,15382000,2773400,33923000,6934300,5459100,9904200,32960000,643270,988150,7580700,6979200,4535100,1094400,9913400,6333400,2561800
AP1S1,AP1S1,6039400,1616800,5386400,2783800,13487000,3878400,7926300,10336000,19300000,1676000,227630,3112800,1762000,2688700,654440,5014100,3474200,1807900
ISG20,ISG20,985490,2716500,5507500,4450200,5745500,4142000,3199800,5304600,7984400,NA,157130,5165500,1578400,2511700,371730,1324300,2462900,1009700
FABP5,FABP5,2080100,1391100,4694100,3179500,8742100,8594200,11079000,4977900,8699300,5550600,1841400,4724600,14615000,35976000,5080600,38338000,25136000,15363000
NOP2,NOP2,266980,231660,930110,514060,696830,547090,1041400,959630,1769000,2176100,735620,1371200,192940,438740,2815700,761340,9001300,3960300
RHG01,ARHGAP1,55240000,48342000,218620000,34818000,189510000,82569000,94339000,220130000,258610000,39250000,12986000,25605000,66085000,42853000,14815000,98708000,96218000,45387000
ZA2G,AZGP1,24059000,38562000,52981000,34464000,14745000,54209000,9146900,30877000,34974000,79501000,73758000,85179000,133860000,67050000,83781000,53705000,125860000,95890000
DCNL1,DCUN1D1,3104800,848930,4396300,2012200,9391200,3851800,5909500,7644400,9951800,925140,583740,2307300,1570400,4727000,175320,4411000,1720600,963790
GORS2,GORASP2,34657000,9966900,57567000,24603000,79139000,29605000,46017000,35746000,79102000,6759400,2028300,13506000,27054000,17381000,2505200,33103000,30064000,14218000
EIF3G,EIF3G,17680000,4430200,26519000,10676000,73294000,18292000,24928000,42508000,94502000,14341000,558380,15262000,24354000,12157000,2628800,18569000,17790000,10098000
ESAM,ESAM,5389500,908210,3984400,2053700,16745000,3905600,8151200,6883100,10331000,15318000,7544300,44231000,12624000,17097000,5746500,17525000,21633000,15730000
IF6,EIF6,43819000,34686000,61192000,31944000,221970000,48345000,67730000,151860000,139210000,19643000,7733700,50444000,35897000,33156000,14107000,61888000,45959000,28065000
STING,STING1,20178000,1076100,38939000,1743200,29974000,20188000,39320000,13180000,65063000,6815600,519640,14030000,5370200,12844000,1890800,26552000,7725900,9417500
FAF2,FAF2,10172000,4325400,29274000,4432600,47346000,12584000,16325000,19482000,41324000,5553900,6142000,9025500,7627500,9327400,1419900,14519000,10010000,5203400
TOM22,TOMM22,20086000,9529700,49672000,13172000,84950000,28385000,54141000,32336000,64217000,14329000,9853300,16686000,20171000,20552000,2909200,28128000,13034000,6903900
RL27A,RPL27A,9079100,5426600,26857000,8729700,33781000,14695000,19202000,24737000,31576000,5125000,767330,4549200,17569000,3644600,501510,3602800,10331000,2160300
GLRX3,GLRX3,11133000,11963000,27094000,9954800,56661000,18841000,16048000,25113000,65889000,5819000,4995100,8612600,8620300,14772000,5182500,17533000,14785000,10128000
EIF3L,EIF3L,16616000,9693800,33804000,17717000,71246000,29253000,28361000,40437000,93457000,10444000,2816400,20130000,15473000,21153000,2938900,25259000,18392000,10520000
PRS7,PSMC2,21426000,3390900,44657000,16792000,112600000,24802000,42925000,51499000,74144000,12194000,6168300,13229000,13022000,31056000,9864600,28071000,20050000,12883000
ZN207,ZNF207,2741200,2358900,10378000,1477700,18657000,7251400,10816000,14728000,13112000,893380,501930,1653900,219740,5222300,1529100,4385400,10495000,5567900
EF1B,EEF1B2,78875000,45085000,210640000,122900000,326960000,98195000,173160000,231250000,527720000,39204000,17711000,98843000,86058000,114940000,20674000,146930000,91628000,62928000
IF4H,EIF4H,13747000,7287800,20260000,12873000,79318000,19173000,19030000,14492000,60098000,5051500,3408500,8758900,7346200,14160000,3186200,19673000,17883000,12778000
IDI1,IDI1,11636000,4666900,7662900,12000000,17797000,5967100,23754000,12182000,27622000,6883300,4169600,3409000,3178600,3760300,3246300,11539000,2084800,7956100
TETN,CLEC3B,5891100,7532700,11545000,3194500,9630800,7359200,3494400,11613000,10990000,33022000,14667000,27707000,25271000,9833800,7829500,16528000,22645000,32498000
PPP5,PPP5C,5182200,1230200,11551000,5727800,33281000,10464000,17621000,16123000,24338000,3165600,126710,6028300,5703900,4749300,1621600,8084300,9953100,7673400
RCC2,RCC2,19244000,13659000,27741000,14585000,48919000,32257000,33767000,45112000,64942000,6743000,1502400,23007000,15795000,14676000,2451200,25207000,13607000,9763800
NNRE,NAXE,27448000,9257100,176450000,17813000,138420000,56156000,64484000,47485000,117580000,23291000,9244400,23914000,29265000,28772000,10369000,42258000,48478000,30570000
NMT1,NMT1,4903600,3415500,15772000,2806900,51683000,9200600,13816000,16997000,25587000,3282300,1668400,4995200,6583100,7447400,1874000,11294000,10957000,6202600
STT3A,STT3A,7959400,8627500,21969000,11453000,21225000,12846000,12779000,21536000,39459000,3187800,1066600,11008000,9413000,7309400,1050100,16128000,7388700,2979600
ILF3,ILF3,55850000,31798000,95489000,45071000,178060000,70949000,101110000,133410000,200170000,15117000,8348300,60335000,31238000,58436000,11112000,66416000,57275000,36198000
PRDX4,PRDX4,53527000,64338000,257970000,91423000,174180000,137520000,112010000,163160000,215900000,16232000,6870800,70333000,80501000,88762000,10668000,110130000,72831000,23598000
RL30,RPL30,66189000,56401000,184200000,51354000,224470000,84533000,99705000,62202000,187940000,12276000,6424700,94274000,25951000,62439000,12074000,87614000,52494000,31138000
TACO1,TACO1,77414,1045300,5554500,1699600,14651000,3381400,16896000,6182600,4550900,9895900,5736200,42864000,3483300,15073000,4799700,20846000,20252000,19787000
NDKA,NME1,26448000,15627000,49171000,18086000,202010000,30538000,75123000,40506000,111900000,13583000,9718300,26420000,24498000,24926000,14709000,29813000,21311000,14799000
EIF3D,EIF3D,57550000,34140000,50576000,21384000,104370000,36740000,44094000,73398000,118950000,14497000,2397600,34363000,25135000,37676000,5257900,43193000,32381000,10360000
TM9S4,TM9SF4,14630000,7543600,25600000,13458000,63764000,11224000,26017000,14566000,58258000,5217000,2065900,11852000,7561800,13571000,4126400,24014000,14100000,6709300
CPSF2,CPSF2,3795200,1123100,3486800,2048100,14411000,4654300,6125900,8397100,17969000,1346800,782560,3629100,1894600,4332000,593080,5232300,2527200,3211800
RCN1,RCN1,57206000,40348000,120940000,48702000,604950000,48660000,96944000,160010000,449170000,25664000,23868000,121090000,39760000,82043000,27433000,84855000,114690000,98873000
PA1B3,PAFAH1B3,13354000,9899700,57516000,12537000,141790000,29829000,75372000,26939000,20733000,11468000,13076000,14809000,18137000,17357000,13060000,14772000,22765000,22173000
DAF,CD55,17493000,3129200,17903000,4069000,31059000,8176500,29042000,18029000,62441000,65856000,20649000,96378000,66433000,46246000,26298000,37409000,68180000,74686000
IF2A,EIF2S1,38736000,8905300,50014000,21610000,163800000,29523000,47863000,56849000,102400000,14858000,3615100,24660000,28870000,25726000,9197500,39303000,31594000,20531000
FKBP2,FKBP2,61309000,49469000,177180000,113500000,145450000,125940000,135710000,172210000,237660000,30331000,10505000,75544000,64673000,66267000,13387000,93568000,67201000,44335000
ARFP1,ARFIP1,12431000,2308900,11784000,10182000,34611000,10566000,14340000,20075000,28660000,3582700,1131800,8273200,6429700,6576500,2053800,11058000,8809800,7541500
NIPS1,NIPSNAP1,56274000,2593600,86929000,17535000,91635000,38100000,49365000,21050000,91322000,13034000,2785600,27160000,12073000,33172000,1600100,38630000,26408000,19347000
DUS3,DUSP3,11354000,7058200,14434000,11740000,32569000,18359000,19826000,24733000,28580000,7169900,15051000,47234000,16944000,34669000,25387000,259220000,22500000,11888000
STX5,STX5,2365800,225220,6677800,3642200,14467000,4061700,7445400,11620000,15662000,1196700,58382,8826600,1504000,3960600,94179,5345300,3661000,734050
COPG2,COPG2,2042700,940860,5351700,2048400,9332200,2845800,3442400,6926700,15185000,1166600,50299,2598300,3091200,4383700,279800,4766100,1456100,672310
SRSF6,SRSF6,2350500,988990,4668600,1039900,6621100,5663700,6303200,6704800,3812600,356610,NA,1663700,454430,1450100,97831,3290700,1793300,640880
DJB11,DNAJB11,21276000,20508000,71635000,45170000,92096000,39886000,49973000,86252000,85588000,8191800,6739300,24785000,23721000,40596000,8441500,46136000,26857000,11319000
C1TC,MTHFD1,20056000,11436000,33206000,16984000,131570000,35619000,55274000,48406000,73877000,13728000,4856600,21671000,18720000,27194000,6834400,25339000,24949000,21322000
CLPP,CLPP,3257200,744000,6200200,2367100,13088000,2944400,NA,6297700,20442000,1190000,312800,4782100,476750,4780600,769000,4732100,2725500,1605300
RIDA,RIDA,9310700,1082700,10124000,3976300,21605000,4666700,6266400,5840200,37216000,3829200,1068300,5395800,4332800,9343400,1512500,5641400,3699100,3894000
MPI,MPI,15637000,4259100,40256000,13503000,93749000,18780000,13843000,10470000,55510000,11127000,2608200,12927000,13975000,14240000,4040300,15557000,14744000,13738000
TIM13,TIMM13,10867000,4567600,20979000,7782400,40246000,7782300,18565000,14343000,50524000,2709000,738370,7945500,6863700,6402100,1501700,13111000,6929000,4243100
NP1L4,NAP1L4,23919000,4721100,38806000,13373000,102120000,23308000,34815000,58162000,123430000,13599000,7641500,9063600,9494700,34403000,17802000,26717000,27074000,18119000
ARMC1,ARMC1,8688600,69808,23709000,3386300,29510000,5396500,14574000,11992000,38089000,4388900,2358400,2731100,4942900,6290000,2010000,10471000,13986000,5441200
SYFB,FARSB,15392000,7949700,52243000,12231000,66688000,23649000,28893000,28322000,68844000,9728300,3046000,11516000,12366000,19171000,4668000,23757000,19723000,14338000
HNRPL,HNRNPL,126440000,52889000,162200000,79201000,415050000,162570000,199370000,157220000,243030000,34005000,11623000,90114000,80684000,97442000,16653000,137320000,98025000,55996000
PABP2,PABPN1,6941900,1131100,15760000,6686500,32090000,10298000,16047000,24608000,36236000,2387800,391460,13868000,8154000,11176000,665530,10514000,8704100,2529300
ROA0,HNRNPA0,31940000,19674000,86359000,36444000,144970000,59113000,97737000,128220000,189380000,28599000,4446700,41732000,41643000,61416000,7101600,56957000,46025000,22694000
RACK1,RACK1,165680000,87626000,393420000,135180000,386360000,224110000,266680000,318580000,563150000,43966000,19604000,172410000,124440000,158170000,13387000,243610000,137430000,81310000
EFTS,TSFM,3168200,870170,4070300,1652600,6751800,NA,4821600,5267100,11473000,684910,233340,2577400,1227400,2987000,434130,2675300,2098400,1983000
CD5L,CD5L,128740,12495000,9101800,5569600,1867600,3374900,4135800,11573000,12197000,694510,25907000,54627000,21038000,12047000,12420000,8400800,13565000,19380000
MPPB,PMPCB,12082000,9462700,10754000,5155700,24656000,5498200,10484000,7779700,21472000,3446200,632860,2629100,3763400,9032200,1335000,10043000,8127500,3299300
TRA2A,TRA2A,3614400,1164300,13553000,3379000,31190000,7741100,11742000,12210000,24086000,2489800,830480,7895500,4683300,7273600,1626500,9408700,7448300,464890
ACAD8,ACAD8,6000900,10460000,10119000,950900,5367600,2725300,13242000,6561500,16145000,2151600,416930,2634300,2611400,5970100,1112100,5167200,5063000,3098700
BOLA2,BOLA2,26265000,19192000,29546000,27917000,60941000,30720000,31849000,46234000,75755000,6624800,6891400,20679000,15272000,20839000,8440400,22215000,20296000,16648000
SF3A3,SF3A3,11508000,18270000,56827000,11739000,48301000,16778000,26322000,28423000,52825000,4160700,2837300,14033000,15847000,19579000,3249700,18814000,12790000,16069000
IF2B2,IGF2BP2,7708100,2022200,10658000,1915500,107900000,17367000,26679000,19531000,17315000,8283600,5186300,2080500,16173000,11203000,6765900,13836000,16762000,3369400
CAZA1,CAPZA1,92825000,81081000,186640000,95912000,266260000,190740000,198880000,217010000,268900000,30595000,10812000,113710000,78931000,102280000,12256000,158920000,82360000,44120000
TTL12,TTLL12,15047000,5095400,65162000,11027000,67630000,14168000,40483000,20994000,70874000,6675600,5586400,17848000,10864000,4529500,7889000,49039000,6330500,14575000
RS18,RPS18,43805000,24070000,118540000,36457000,179100000,53133000,61857000,111900000,168570000,19055000,5114400,64875000,37353000,50564000,7800700,47743000,54621000,29909000
PSB10,PSMB10,17315000,15544000,52371000,16516000,27629000,31519000,11691000,61729000,164230000,16060000,6753800,14933000,22309000,18297000,8718600,25165000,27961000,18430000
AN32E,ANP32E,21321000,10944000,32745000,11446000,50115000,30915000,62485000,31548000,80577000,9951100,3453700,16461000,13394000,21842000,7599500,21681000,17420000,20487000
RS17,RPS17,50562000,1167600,111710000,21877000,233930000,20534000,66155000,124910000,243680000,10985000,3294000,9346600,5167400,16850000,1811900,204370000,6168700,2699200
DIC,SLC25A10,1627500,87123,4657600,1139800,16987000,1287700,4753300,3022000,3517100,495660,NA,1453000,542420,1812400,285430,2125500,3874500,1017700
FUS,FUS,32923000,8705700,41852000,16169000,78939000,31147000,38526000,49677000,73695000,12677000,6118000,8491400,20372000,26764000,9243600,22974000,22398000,20462000
PSB8,PSMB8,50379000,37047000,128530000,35441000,136430000,75978000,89998000,104290000,201130000,21856000,9071400,61595000,45777000,60027000,12161000,50404000,49122000,35676000
NDUV2,NDUFV2,20457000,6838400,37019000,16457000,33874000,32407000,24463000,27540000,66327000,4041700,876620,12297000,16027000,17986000,2292800,27866000,14805000,10655000
TTHY,TTR,341270000,340120000,114600000,211530000,130640000,227730000,155330000,376810000,347090000,1160300000,559400000,143130000,821250000,534020000,320210000,665030000,654390000,709740000
PPIF,PPIF,22540000,9529000,64135000,13110000,99856000,32052000,64682000,75874000,155120000,8394300,3629300,33800000,18622000,52046000,7918700,55275000,19762000,17623000
HNRH3,HNRNPH3,14625000,6323500,54928000,10990000,54427000,30158000,42399000,49057000,84251000,18292000,8719500,2864800,20416000,14948000,6229800,25758000,25811000,17620000
PGS2,DCN,51318000,119700000,152570000,28918000,29853000,489200000,159070000,208450000,39014000,273470000,72197000,614180000,675010000,254160000,66575000,457130000,463410000,267020000
BST2,BST2,9896500,3707500,8389400,3838000,11297000,8394700,7264100,9791400,14796000,11953000,5181800,64181000,9545400,22934000,10885000,17132000,26099000,22153000
PSPC,SFTPC,8319300,3872600,8799600,796210,19701000,7895000,11303000,12784000,7344800,12832000,5287000,26442000,18718000,31633000,4314200,37135000,29645000,31238000
PSA2,PSMA2,27977000,27191000,117400000,42328000,133980000,54055000,89439000,54269000,178270000,24476000,8772000,10952000,36301000,43640000,12890000,71693000,50019000,38571000
MIEN1,MIEN1,3145400,4449300,7107200,2486100,11667000,6075200,6135100,9159200,12376000,3324600,907810,607950,3551500,2235400,547510,5566500,5294700,3729300
EPCAM,EPCAM,40512000,13976000,38432000,22351000,389680000,30988000,65219000,33071000,128720000,15394000,5735600,92895000,24955000,42113000,9723200,50636000,43050000,29586000
