protein,gene,A136_T,A137_T,A139_T,A141_T,A143_T,A146_T,A147_T,A148_T,A153_T,A136_N,A137_N,A139_N,A141_N,A143_N,A146_N,A147_N,A148_N,A153_N
ZPR1,ZPR1,5475100,1935900,269860,6988700,137980,9010600,5507100,395070,800340,4129000,1777000,10396000,320450,8796000,2144500,365050,7397500,6538300
CRERF,CREBRF,3364900,3723000,6665900,4492100,10300000,2583800,7064500,10486000,11761000,6820500,5079300,8861100,8669200,11427000,12227000,8402900,10374000,7934800
TMCO1,TMCO1,2641700,284270,6484200,1542600,16826000,1775800,6850900,3127400,12480000,1371000,528200,9005700,1099500,7013900,469360,10507000,4847100,3306500
IF1AX,EIF1AX,6438700,612020,10783000,6248900,13273000,3525700,9342500,7786200,17541000,10845000,12936000,11452000,5343500,25739000,305840,5590100,16641000,13359000
SF3B6,SF3B6,2087700,1212600,5447800,2204300,8020600,4684600,7045800,4892800,1330700,1264100,1905700,7908000,4498100,6708700,2486600,6337200,5145300,3113700
RENT1,UPF1,13273000,4832800,12719000,5780800,21321000,12052000,13270000,17858000,32092000,8465500,6532000,15139000,15845000,22818000,7565700,23917000,14463000,14113000
RDHE2,SDR16C5,4750700,9282300,327270,1064800,1312000,315560,1682600,1133600,11636000,559040,18401000,564410,274260,479290,NA,1462600,667750,820840
SCAM2,SCAMP2,13303000,9081900,44073000,14705000,41293000,17538000,23808000,24065000,45786000,13113000,4154300,50673000,23782000,44934000,9036900,35027000,29639000,15802000
PI42B,PIP4K2B,2799700,1727600,2763800,2437300,4900700,6267600,2718200,3779200,8772400,3221900,910910,5420200,4181700,4735400,1889400,6128000,4007600,4512500
H2AV,H2AZ2,179580,383860,2024200,92477,5150400,479650,3121400,1796600,155700,1334200,231140,769400,277910,3215500,2033000,4462500,2929400,2871200
ECHD3,ECHDC3,14781000,7375400,24105000,4172800,14719000,20298000,8499700,11248000,31828000,10262000,4868600,28513000,14877000,27303000,5086400,20138000,18708000,11779000
GIMA1,GIMAP1,8828400,6016300,17800000,6234500,19648000,23979000,20086000,25665000,27378000,11028000,6875300,27158000,15286000,26934000,5368000,18438000,27585000,22064000
HGH1,HGH1,911030,74099,1023900,NA,6955200,2307700,472720,3048600,22741000,737750,473480,4653500,2185000,5656300,1754300,5935200,6031000,4319300
PTTG,PTTG1IP,3826000,2791300,1553800,4455400,9370200,4361200,7038500,8756800,20055000,4818800,1361400,3873300,9113500,11884000,1583600,6931900,2407100,4728400
KAIN,SERPINA4,6756700,7199200,10059000,3821900,11087000,6446900,7249200,16688000,30526000,21189000,9653600,7574200,11533000,17694000,4252700,11301000,9856700,10012000
MOT1,SLC16A1,2489800,6374100,8178600,3501200,2046500,36139,65925,362970,350580,3609400,1111500,13695000,63935,84152,864180,7714700,640570,3441900
ROAA,HNRNPAB,9421400,14816000,26024000,14701000,31419000,24968000,16170000,8512800,41306000,13069000,15848000,31997000,11225000,20443000,14734000,33099000,29105000,9092900
SPNS1,SPNS1,2111800,1541400,3104500,1086100,2350600,2162000,6156700,4050500,2612500,2422700,959710,3903100,2570300,6618200,1497800,7888300,3832300,2628700
F13A,F13A1,46461000,35544000,290490000,59393000,225060000,204530000,112670000,83894000,156910000,61631000,12583000,99197000,183590000,39717000,33517000,528010000,143280000,76572000
ACBD5,ACBD5,990100,3115600,1814200,932080,1654300,1747500,1837200,2240800,988460,427720,2727900,2690400,1492500,2072600,419320,2368300,1454200,545650
